omp_num_threads,graph,order,size,time,iterations,error,technique
"2","min-1DeadEnd","5","6","0.528","17","0","pagerankOmp"
"2","min-1DeadEnd","5","6","1.528","0","1.3411e-7","pagerankNvgraph"
"4","min-1DeadEnd","5","6","0.524","17","0","pagerankOmp"
"4","min-1DeadEnd","5","6","1.546","0","1.3411e-7","pagerankNvgraph"
"8","min-1DeadEnd","5","6","0.885","17","0","pagerankOmp"
"8","min-1DeadEnd","5","6","1.639","0","1.3411e-7","pagerankNvgraph"
"16","min-1DeadEnd","5","6","1.168","17","0","pagerankOmp"
"16","min-1DeadEnd","5","6","1.51","0","1.3411e-7","pagerankNvgraph"
"28","min-1DeadEnd","5","6","1.738","17","0","pagerankOmp"
"28","min-1DeadEnd","5","6","1.513","0","1.3411e-7","pagerankNvgraph"
"32","min-1DeadEnd","5","6","1.722","17","0","pagerankOmp"
"32","min-1DeadEnd","5","6","1.63","0","1.3411e-7","pagerankNvgraph"
"48","min-1DeadEnd","5","6","19.752","17","0","pagerankOmp"
"48","min-1DeadEnd","5","6","1.523","0","1.3411e-7","pagerankNvgraph"
"2","min-2SCC","8","12","1.016","40","0","pagerankOmp"
"2","min-2SCC","8","12","3.878","0","9.127e-7","pagerankNvgraph"
"4","min-2SCC","8","12","1.134","40","0","pagerankOmp"
"4","min-2SCC","8","12","3.931","0","9.127e-7","pagerankNvgraph"
"8","min-2SCC","8","12","1.221","40","0","pagerankOmp"
"8","min-2SCC","8","12","3.862","0","9.127e-7","pagerankNvgraph"
"16","min-2SCC","8","12","2.192","40","0","pagerankOmp"
"16","min-2SCC","8","12","3.866","0","9.127e-7","pagerankNvgraph"
"28","min-2SCC","8","12","3.207","40","0","pagerankOmp"
"28","min-2SCC","8","12","3.835","0","9.127e-7","pagerankNvgraph"
"32","min-2SCC","8","12","3.272","40","0","pagerankOmp"
"32","min-2SCC","8","12","3.854","0","9.127e-7","pagerankNvgraph"
"48","min-2SCC","8","12","22.059","40","0","pagerankOmp"
"48","min-2SCC","8","12","3.559","0","9.127e-7","pagerankNvgraph"
"2","min-4SCC","21","35","0.844","45","0","pagerankOmp"
"2","min-4SCC","21","35","3.933","0","6.156e-7","pagerankNvgraph"
"4","min-4SCC","21","35","1.274","45","0","pagerankOmp"
"4","min-4SCC","21","35","4.298","0","6.156e-7","pagerankNvgraph"
"8","min-4SCC","21","35","1.398","45","0","pagerankOmp"
"8","min-4SCC","21","35","3.895","0","6.156e-7","pagerankNvgraph"
"16","min-4SCC","21","35","2.181","45","0","pagerankOmp"
"16","min-4SCC","21","35","4.211","0","6.156e-7","pagerankNvgraph"
"28","min-4SCC","21","35","3.633","45","0","pagerankOmp"
"28","min-4SCC","21","35","3.848","0","6.156e-7","pagerankNvgraph"
"32","min-4SCC","21","35","3.673","45","0","pagerankOmp"
"32","min-4SCC","21","35","3.9","0","6.156e-7","pagerankNvgraph"
"48","min-4SCC","21","35","22.613","45","0","pagerankOmp"
"48","min-4SCC","21","35","3.898","0","6.156e-7","pagerankNvgraph"
"2","min-NvgraphEx","6","10","0.736","24","0","pagerankOmp"
"2","min-NvgraphEx","6","10","2.271","0","2.9802e-8","pagerankNvgraph"
"4","min-NvgraphEx","6","10","0.718","24","0","pagerankOmp"
"4","min-NvgraphEx","6","10","2.086","0","2.9802e-8","pagerankNvgraph"
"8","min-NvgraphEx","6","10","0.828","24","0","pagerankOmp"
"8","min-NvgraphEx","6","10","2.244","0","2.9802e-8","pagerankNvgraph"
"16","min-NvgraphEx","6","10","1.379","24","0","pagerankOmp"
"16","min-NvgraphEx","6","10","2.261","0","2.9802e-8","pagerankNvgraph"
"28","min-NvgraphEx","6","10","2.19","24","0","pagerankOmp"
"28","min-NvgraphEx","6","10","2.247","0","2.9802e-8","pagerankNvgraph"
"32","min-NvgraphEx","6","10","2.211","24","0","pagerankOmp"
"32","min-NvgraphEx","6","10","2.121","0","2.9802e-8","pagerankNvgraph"
"48","min-NvgraphEx","6","10","21.108","24","0","pagerankOmp"
"48","min-NvgraphEx","6","10","2.077","0","2.9802e-8","pagerankNvgraph"
"2","web-Stanford","281903","2312497","222.244","63","0","pagerankOmp"
"2","web-Stanford","281903","2312497","11.279","0","0.0000049317","pagerankNvgraph"
"4","web-Stanford","281903","2312497","121.686","63","0","pagerankOmp"
"4","web-Stanford","281903","2312497","11.373","0","0.0000049306","pagerankNvgraph"
"8","web-Stanford","281903","2312497","73.476","63","0","pagerankOmp"
"8","web-Stanford","281903","2312497","10.518","0","0.0000049304","pagerankNvgraph"
"16","web-Stanford","281903","2312497","43.844","63","0","pagerankOmp"
"16","web-Stanford","281903","2312497","11","0","0.0000050164","pagerankNvgraph"
"28","web-Stanford","281903","2312497","40.905","63","0","pagerankOmp"
"28","web-Stanford","281903","2312497","10.537","0","0.0000049333","pagerankNvgraph"
"32","web-Stanford","281903","2312497","37.787","63","0","pagerankOmp"
"32","web-Stanford","281903","2312497","10.438","0","0.0000049306","pagerankNvgraph"
"48","web-Stanford","281903","2312497","50.413","63","0","pagerankOmp"
"48","web-Stanford","281903","2312497","10.514","0","0.0000050267","pagerankNvgraph"
"2","web-BerkStan","685230","7600595","528.732","64","0","pagerankOmp"
"2","web-BerkStan","685230","7600595","16.117","0","0.000020892","pagerankNvgraph"
"4","web-BerkStan","685230","7600595","288.22","64","0","pagerankOmp"
"4","web-BerkStan","685230","7600595","16.489","0","0.000020907","pagerankNvgraph"
"8","web-BerkStan","685230","7600595","163.498","64","0","pagerankOmp"
"8","web-BerkStan","685230","7600595","15.574","0","0.000020903","pagerankNvgraph"
"16","web-BerkStan","685230","7600595","107.938","64","0","pagerankOmp"
"16","web-BerkStan","685230","7600595","16.131","0","0.000020884","pagerankNvgraph"
"28","web-BerkStan","685230","7600595","89.287","64","0","pagerankOmp"
"28","web-BerkStan","685230","7600595","16.122","0","0.000020908","pagerankNvgraph"
"32","web-BerkStan","685230","7600595","103.118","64","0","pagerankOmp"
"32","web-BerkStan","685230","7600595","16.147","0","0.000020887","pagerankNvgraph"
"48","web-BerkStan","685230","7600595","97.145","64","0","pagerankOmp"
"48","web-BerkStan","685230","7600595","16.074","0","0.000021006","pagerankNvgraph"
"2","web-Google","916428","5105039","864.107","62","0","pagerankOmp"
"2","web-Google","916428","5105039","20.995","0","0.000049753","pagerankNvgraph"
"4","web-Google","916428","5105039","452.813","62","0","pagerankOmp"
"4","web-Google","916428","5105039","19.864","0","0.000023635","pagerankNvgraph"
"8","web-Google","916428","5105039","241.778","62","0","pagerankOmp"
"8","web-Google","916428","5105039","20.984","0","0.000020085","pagerankNvgraph"
"16","web-Google","916428","5105039","135.316","62","0","pagerankOmp"
"16","web-Google","916428","5105039","19.642","0","0.000011607","pagerankNvgraph"
"28","web-Google","916428","5105039","124.391","62","0","pagerankOmp"
"28","web-Google","916428","5105039","19.775","0","0.0000037988","pagerankNvgraph"
"32","web-Google","916428","5105039","110.17","62","0","pagerankOmp"
"32","web-Google","916428","5105039","20.144","0","0.0000022251","pagerankNvgraph"
"48","web-Google","916428","5105039","111.508","62","0","pagerankOmp"
"48","web-Google","916428","5105039","21.094","0","0.0000030537","pagerankNvgraph"
"2","web-NotreDame","325729","1497134","125.307","58","0","pagerankOmp"
"2","web-NotreDame","325729","1497134","8.745","0","0.0000119","pagerankNvgraph"
"4","web-NotreDame","325729","1497134","69.445","58","0","pagerankOmp"
"4","web-NotreDame","325729","1497134","8.246","0","0.000026627","pagerankNvgraph"
"8","web-NotreDame","325729","1497134","44.159","58","0","pagerankOmp"
"8","web-NotreDame","325729","1497134","8.799","0","0.0000032885","pagerankNvgraph"
"16","web-NotreDame","325729","1497134","27.242","58","0","pagerankOmp"
"16","web-NotreDame","325729","1497134","8.544","0","0.000012862","pagerankNvgraph"
"28","web-NotreDame","325729","1497134","34.124","58","0","pagerankOmp"
"28","web-NotreDame","325729","1497134","8.297","0","0.0000079297","pagerankNvgraph"
"32","web-NotreDame","325729","1497134","28.49","59","0","pagerankOmp"
"32","web-NotreDame","325729","1497134","8.211","0","0.000013035","pagerankNvgraph"
"48","web-NotreDame","325729","1497134","38.742","58","0","pagerankOmp"
"48","web-NotreDame","325729","1497134","8.288","0","0.0000028748","pagerankNvgraph"
"2","soc-Slashdot0811","77360","905468","56.174","55","0","pagerankOmp"
"2","soc-Slashdot0811","77360","905468","7.014","0","9.7008e-7","pagerankNvgraph"
"4","soc-Slashdot0811","77360","905468","33.043","55","0","pagerankOmp"
